lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.809665,-117.805330,41.000000,34.087454,34.089286,21.000000,0,-15,31
lon,lat,depth,data
-117.809665,34.087454,0.500000,5.813581
-117.809665,34.087454,1.000000,3.556331
-117.809665,34.087454,1.500000,5.755725
-117.809665,34.087454,2.000000,4.216038
-117.809665,34.087454,2.500000,4.236658
-117.809665,34.087454,3.000000,4.125536
-117.809665,34.087454,3.500000,4.117942
-117.809665,34.087454,4.000000,6.593284
-117.809665,34.087454,4.500000,4.900220
-117.809665,34.087454,5.000000,5.963173
-117.809665,34.087454,5.500000,4.537404
-117.809665,34.087454,6.000000,4.362484
-117.809665,34.087454,6.500000,4.079758
-117.809665,34.087454,7.000000,5.638176
-117.809665,34.087454,7.500000,4.321555
-117.809665,34.087454,8.000000,4.866250
-117.809665,34.087454,8.500000,5.126773
-117.809665,34.087454,9.000000,5.057059
-117.809665,34.087454,9.500000,5.774812
-117.809665,34.087454,10.000000,4.273894
-117.809665,34.087454,10.500000,4.477054
-117.809665,34.087454,11.000000,5.958148
-117.809665,34.087454,11.500000,3.406906
-117.809665,34.087454,12.000000,6.280369
-117.809665,34.087454,12.500000,5.265432
-117.809665,34.087454,13.000000,5.559725
-117.809665,34.087454,13.500000,5.168650
-117.809665,34.087454,14.000000,3.255700
-117.809665,34.087454,14.500000,4.776656
-117.809665,34.087454,15.000000,4.766010
-117.809665,34.087546,0.000000,4.311913
-117.809665,34.087546,0.500000,4.823393
-117.809665,34.087546,1.000000,5.365246
-117.809665,34.087546,1.500000,5.228417
-117.809665,34.087546,2.000000,4.283099
-117.809665,34.087546,2.500000,3.381973
-117.809665,34.087546,3.000000,6.106378
-117.809665,34.087546,3.500000,5.268448
-117.809665,34.087546,4.000000,4.709844
-117.809665,34.087546,4.500000,4.881577
-117.809665,34.087546,5.000000,4.847039
-117.809665,34.087546,5.500000,4.585305
-117.809665,34.087546,6.000000,3.367948
-117.809665,34.087546,6.500000,4.025231
-117.809665,34.087546,7.000000,5.429100
-117.809665,34.087546,7.500000,5.017194
-117.809665,34.087546,8.000000,5.026688
-117.809665,34.087546,8.500000,4.621073
-117.809665,34.087546,9.000000,5.558325
-117.809665,34.087546,9.500000,5.227621
-117.809665,34.087546,10.000000,3.435379
-117.809665,34.087546,10.500000,3.848590
