lon_min,lon_max,lon_res,lat_min,lat_max,lat_res
-117.807525,-117.802054,51,34.084764,34.09021,61
lon,lat,data
-117.807525,34.084764,18.423602765
-117.80741558,34.084764,14.5014304403
-117.80730616,34.084764,10.2373701305
-117.80719674,34.084764,6.67352268349
-117.80708732,34.084764,4.97259189218
-117.8069779,34.084764,5.93519589475
-117.80686848,34.084764,9.58283434234
-117.80675906,34.084764,15.0833799922
-117.80664964,34.084764,21.1082237141
-117.80654022,34.084764,26.3765754563
-117.8064308,34.084764,30.0474565296
-117.80632138,34.084764,31.8168170619
-117.80621196,34.084764,31.8052565439
-117.80610254,34.084764,30.4209273124
-117.80599312,34.084764,28.2621164291
-117.8058837,34.084764,25.9689996457
-117.80577428,34.084764,24.0319706285
-117.80566486,34.084764,22.6588273036
-117.80555544,34.084764,21.8293843228
-117.80544602,34.084764,21.4465126856
-117.8053366,34.084764,21.4372164689
-117.80522718,34.084764,21.7449198802
-117.80511776,34.084764,22.288376647
-117.80500834,34.084764,22.966634036
-117.80489892,34.084764,23.6475638741
-117.8047895,34.084764,24.1331390874
-117.80468008,34.084764,24.1837079679
-117.80457066,34.084764,23.665292243
-117.80446124,34.084764,22.7198128013
-117.80435182,34.084764,21.7580888592
-117.8042424,34.084764,21.2343587383
-117.80413298,34.084764,21.376042096
-117.80402356,34.084764,22.0961583188
-117.80391414,34.084764,23.123595356
-117.80380472,34.084764,24.2085232553
-117.8036953,34.084764,25.1958010851
-117.80358588,34.084764,25.9441180809
-117.80347646,34.084764,26.2286055015
-117.80336704,34.084764,25.8001286521
-117.80325762,34.084764,24.5747566889
-117.8031482,34.084764,22.7687757612
-117.80303878,34.084764,20.8289858595
-117.80292936,34.084764,19.2070081327
-117.80281994,34.084764,18.1325914211
-117.80271052,34.084764,17.5493356753
-117.8026011,34.084764,17.2138208541
-117.80249168,34.084764,16.8853406901
-117.80238226,34.084764,16.5061411495
-117.80227284,34.084764,16.2771328389
-117.80216342,34.084764,16.513425215
-117.802054,34.084764,17.3374976678
-117.807525,34.0848547667,17.1699406247
-117.80741558,34.0848547667,13.5909015337
-117.80730616,34.0848547667,9.74431861689
-117.80719674,34.0848547667,6.61669706782
-117.80708732,34.0848547667,5.35015027148
-117.8069779,34.0848547667,6.74679603537
-117.80686848,34.0848547667,10.8218478433
-117.80675906,34.0848547667,16.7313690205
-117.80664964,34.0848547667,23.1187259022
-117.80654022,34.0848547667,28.6543395566
-117.8064308,34.0848547667,32.4327715299
-117.80632138,34.0848547667,34.0971460226
-117.80621196,34.0848547667,33.7727538805
-117.80610254,34.0848547667,31.9466874479
-117.80599312,34.0848547667,29.3237694415
-117.8058837,34.0848547667,26.6225709746
-117.80577428,34.0848547667,24.3655258842
-117.80566486,34.0848547667,22.7616153558
-117.80555544,34.0848547667,21.7809564006
-117.80544602,34.0848547667,21.3119824581
-117.8053366,34.0848547667,21.2529129134
-117.80522718,34.0848547667,21.5027177908
-117.80511776,34.0848547667,21.9188052054
-117.80500834,34.0848547667,22.3185806832
-117.80489892,34.0848547667,22.5070364307
-117.8047895,34.0848547667,22.2982671086
-117.80468008,34.0848547667,21.5759390122
-117.80457066,34.0848547667,20.405078255
-117.80446124,34.0848547667,19.110502655
-117.80435182,34.0848547667,18.171228465
-117.8042424,34.0848547667,17.9904629435
-117.80413298,34.0848547667,18.6880259138
-117.80402356,34.0848547667,20.0785000784
-117.80391414,34.0848547667,21.8257031802
-117.80380472,34.0848547667,23.6207529864
-117.8036953,34.0848547667,25.2295727997
-117.80358588,34.0848547667,26.4208610429
-117.80347646,34.0848547667,26.9164559268
-117.80336704,34.0848547667,26.4859747271
-117.80325762,34.0848547667,25.1283023834
-117.8031482,34.0848547667,23.1623210192
-117.80303878,34.0848547667,21.0880624214
-117.80292936,34.0848547667,19.3381718281
-117.80281994,34.0848547667,18.096138551
-117.80271052,34.0848547667,17.2873825538
-117.8026011,34.0848547667,16.6904496647
-117.80249168,34.0848547667,16.095751242
-117.80238226,34.0848547667,15.4555697979
-117.80227284,34.0848547667,14.9630695929
-117.80216342,34.0848547667,14.9422037983
-117.802054,34.0848547667,15.5460238072
-117.807525,34.0849455333,16.3215118313
-117.80741558,34.0849455333,13.2904821031
-117.80730616,34.0849455333,10.0929143987
-117.80719674,34.0849455333,7.58259125557
-117.80708732,34.0849455333,6.80746088086
-117.8069779,34.0849455333,8.53797760206
-117.80686848,34.0849455333,12.8180909065
-117.80675906,34.0849455333,18.8625598642
-117.80664964,34.0849455333,25.3730171017
-117.80654022,34.0849455333,31.0297309111
-117.8064308,34.0849455333,34.87891526
-117.80632138,34.0849455333,36.4893572372
-117.80621196,34.0849455333,35.9514354259
-117.80610254,34.0849455333,33.7968599904
-117.80599312,34.0849455333,30.8134871792
-117.8058837,34.0849455333,27.7890544215
-117.80577428,34.0849455333,25.2686826918
-117.80566486,34.0849455333,23.4597948695
-117.80555544,34.0849455333,22.3144281318
-117.80544602,34.0849455333,21.7027403997
-117.8053366,34.0849455333,21.4961798382
-117.80522718,34.0849455333,21.5504328046
-117.80511776,34.0849455333,21.6618582398
-117.80500834,34.0849455333,21.5874822336
-117.80489892,34.0849455333,21.1218427708
-117.8047895,34.0849455333,20.160877895
-117.80468008,34.0849455333,18.762518742
-117.80457066,34.0849455333,17.1871015574
-117.80446124,34.0849455333,15.8651341605
-117.80435182,34.0849455333,15.2370056781
-117.8042424,34.0849455333,15.5546065716
-117.80413298,34.0849455333,16.785235447
-117.80402356,34.0849455333,18.6734696849
-117.80391414,34.0849455333,20.8846194959
-117.80380472,34.0849455333,23.1150912316
-117.8036953,34.0849455333,25.0875251068
-117.80358588,34.0849455333,26.4925531251
-117.80347646,34.0849455333,27.0008295175
-117.80336704,34.0849455333,26.4087163162
-117.80325762,34.0849455333,24.8179445584
-117.8031482,34.0849455333,22.6569310905
-117.80303878,34.0849455333,20.4729432887
-117.80292936,34.0849455333,18.6662477486
-117.80281994,34.0849455333,17.3568110534
-117.80271052,34.0849455333,16.4366940621
-117.8026011,34.0849455333,15.6999462197
-117.80249168,34.0849455333,14.9724210506
-117.80238226,34.0849455333,14.2289514499
-117.80227284,34.0849455333,13.663945731
-117.80216342,34.0849455333,13.5938062264
-117.802054,34.0849455333,14.1778512391
-117.807525,34.0850363,16.0257464204
-117.80741558,34.0850363,13.655738419
-117.80730616,34.0850363,11.2103997061
-117.80719674,34.0850363,9.34961944636
-117.80708732,34.0850363,8.9715129097
-117.8069779,34.0850363,10.8052715949
-117.80686848,34.0850363,14.9686296291
-117.80675906,34.0850363,20.8251380112
-117.80664964,34.0850363,27.214420894
-117.80654022,34.0850363,32.880719404
-117.8064308,34.0850363,36.8289581724
-117.80632138,34.0850363,38.5221214657
-117.80621196,34.0850363,37.9699453479
